Concurso;Data;1a;2a;3a;4a;5a;6a;Ganhadores;Prêmio;Apostas
2731;01/06/2024;4;12;32;45;49;58;0;0;20015928
2730;28/05/2024;7;24;29;41;46;60;0;0;13359856
2729;25/05/2024;20;27;41;47;53;54;0;0;12697689
2728;23/05/2024;2;09;11;25;43;51;0;0;9994442
2727;21/05/2024;4;32;39;48;51;57;0;0;9625351
2726;18/05/2024;27;45;49;53;55;59;0;0;11553521
2725;16/05/2024;2;10;32;33;38;47;0;0;7714493
2724;14/05/2024;11;21;24;26;42;54;0;0;4849572
2723;11/05/2024;6;12;19;28;50;60;1;46726380.41;13401464
2722;09/05/2024;19;23;25;36;44;46;0;0;10956286
2721;07/05/2024;9;10;11;25;46;48;0;0;10165233
2720;04/05/2024;8;15;16;23;42;43;0;0;13533681
2719;30/04/2024;16;25;27;30;42;48;0;0;6157662
2718;27/04/2024;6;30;34;41;46;59;0;0;6430415
2717;25/04/2024;6;22;34;36;44;50;1;5581371.93;5637747
2716;23/04/2024;5;20;27;28;48;49;0;0;4872569
2715;20/04/2024;7;19;25;46;50;53;1;102128925.42;20406599
2714;18/04/2024;16;17;42;45;52;57;0;0;13407552
2713;16/04/2024;9;23;25;26;35;58;0;0;12676331
2712;13/04/2024;7;15;19;35;40;42;0;0;14386888
2711;11/04/2024;14;36;38;46;55;60;0;0;11938192
2710;09/04/2024;5;06;25;42;44;50;0;0;11042006
2709;06/04/2024;12;22;23;24;47;53;0;0;10494657
2708;04/04/2024;10;11;12;19;23;28;0;0;7580748
2707;02/04/2024;7;09;11;39;54;57;0;0;7023984
2706;30/03/2024;10;11;17;24;30;45;0;0;9018496
2705;26/03/2024;2;16;22;27;35;47;1;118265926.76;20705943
2704;23/03/2024;3;07;10;25;31;52;0;0;18285616
2703;21/03/2024;3;07;11;35;38;56;0;0;14835390
2702;19/03/2024;6;13;20;34;40;46;0;0;13366240
2701;16/03/2024;6;15;18;31;32;47;0;0;14822969
2700;14/03/2024;1;11;19;20;28;48;0;0;11696098
2699;12/03/2024;9;23;31;49;54;58;0;0;7653444
2698;09/03/2024;2;18;19;35;45;60;0;0;8541500
2697;07/03/2024;10;11;13;25;27;42;0;0;6361389
2696;05/03/2024;4;13;18;39;55;59;1;206475189.75;39217597
2695;02/03/2024;15;17;32;33;34;40;0;0;34554067
2694;29/02/2024;7;20;22;29;41;58;0;0;24085730
2693;27/02/2024;11;29;44;45;46;50;0;0;22618361
2692;24/02/2024;9;33;45;55;56;59;0;0;23351812
2691;22/02/2024;13;15;28;37;40;57;0;0;17462802
2690;20/02/2024;9;28;33;43;45;55;0;0;14681093
2689;17/02/2024;9;16;20;47;48;52;0;0;14729300
2688;15/02/2024;12;17;33;41;46;54;0;0;12971992
2687;10/02/2024;2;04;24;30;34;50;0;0;12885803
2686;08/02/2024;6;12;20;41;43;59;0;0;10107106
2685;06/02/2024;09;16;31;46;47;51;0;0;8950984
2684;03/02/2024;17;26;45;46;48;53;1;94839718.02;21561834
2683;01/02/2024;01;03;23;27;47;57;0;0;17254311
2682;30/01/2024;04;17;29;30;52;58;0;0;15370637
2681;27/01/2024;10;20;30;42;47;53;0;0;15628208
2680;25/01/2024;03;11;42;45;46;57;0;0;12064213
2679;23/01/2024;07;18;20;26;38;51;0;0;9801184
2678;20/01/2024;10;13;16;18;37;54;0;0;10982474
2677;18/01/2024;03;07;32;34;42;54;0;0;8546843
2676;16/01/2024;04;06;14;19;22;29;0;0;7412502
2675;13/01/2024;01;26;31;34;42;45;0;0;8250890
2674;11/01/2024;08;14;15;21;23;46;0;0;5206263
2673;09/01/2024;04;27;35;45;52;56;0;0;4475821
2672;06/01/2024;10;13;20;40;43;56;1;6480136.97;6747887
2671;04/01/2024;16;19;43;53;57;58;0;0;5454899
2670;31/12/2023;21;24;33;41;48;56;5;117778204.25;485250550
2669;16/12/2023;04;07;16;35;46;54;0;0;8163974
2668;14/12/2023;01;27;30;41;46;57;0;0;6123188
2667;12/12/2023;01;04;08;21;46;51;0;0;5403236
2666;09/12/2023;05;25;29;30;43;47;1;30781665.32;10479456
2665;07/12/2023;03;14;21;22;37;39;0;0;8471087
2664;05/12/2023;12;15;17;30;40;52;0;0;6147505
2663;02/12/2023;07;11;27;41;56;59;0;0;6879130
2662;30/11/2023;17;20;31;34;40;42;1;35852142.15;9606114
2661;28/11/2023;06;30;35;38;41;56;0;0;8926792
2660;25/11/2023;06;12;13;20;38;60;0;0;9784951
2659;23/11/2023;11;36;46;53;55;60;0;0;5109701
2658;21/11/2023;05;13;39;51;58;60;1;50248574.29;11103306
2657;18/11/2023;07;27;32;33;36;53;0;0;16490725
2656;14/11/2023;20;24;27;46;57;58;0;0;10175841
2655;11/11/2023;10;23;30;31;49;56;0;0;11347888
2654;09/11/2023;11;17;23;36;47;51;1;11906870.24;7980430
2653;07/11/2023;14;32;41;43;48;60;0;0;6847210
2652;04/11/2023;13;23;26;29;45;59;0;0;7594261
2651;01/11/2023;06;23;35;36;37;59;1;104876676.04;29071846
2650;28/10/2023;09;18;29;37;39;58;0;0;20901591
2649;26/10/2023;06;11;26;32;46;56;0;0;13914439
2648;24/10/2023;20;44;45;46;56;59;0;0;11936458
2647;21/10/2023;09;33;39;43;50;54;0;0;13406032
2646;19/10/2023;18;28;30;39;41;58;0;0;10454465
2645;17/10/2023;08;22;34;42;51;59;0;0;9250868
2644;14/10/2023;04;17;22;28;30;49;0;0;11616487
2643;10/10/2023;02;10;29;31;56;59;0;0;5990788
2642;07/10/2023;08;13;31;33;49;50;0;0;7005969
2641;05/10/2023;09;24;34;39;45;50;1;32744242.80;9842919
2640;03/10/2023;04;08;10;27;28;32;0;0;8312216
2639;30/09/2023;02;08;11;22;48;49;0;0;8387769
2638;28/09/2023;09;30;34;44;54;55;0;0;5496465
2637;26/09/2023;01;02;10;32;34;59;0;0;4409377
2636;23/09/2023;05;16;38;42;43;48;1;40435445.43;12657268
2635;21/09/2023;06;11;29;37;56;58;0;0;9159344
2634;19/09/2023;08;27;28;32;48;56;0;0;6766696
2633;16/09/2023;02;23;25;33;45;54;0;0;7984648
2632;14/09/2023;05;10;27;38;56;57;0;0;5628241
2631;12/09/2023;14;26;36;39;50;53;0;0;4720244
2630;09/09/2023;14;18;22;26;31;38;1;84729015.05;21398938
2629;05/09/2023;11;32;35;40;41;48;0;0;11377268
2628;02/09/2023;05;14;32;40;53;54;0;0;14061768
2627;31/08/2023;13;25;31;43;57;58;0;0;10776932
2626;29/08/2023;01;09;13;16;52;59;0;0;8630247
2625;26/08/2023;09;10;35;44;55;58;0;0;10894659
2624;24/08/2023;05;31;37;47;52;58;0;0;5963608
2623;22/08/2023;10;15;20;35;37;59;0;0;4484720
2622;19/08/2023;09;19;22;24;50;60;1;4645727.41;8748398
2621;16/08/2023;06;09;14;16;42;47;2;1928029.09;7661367
2620;12/08/2023;04;06;13;21;26;28;4;29058128.28;32291748
2619;09/08/2023;05;36;39;41;44;50;0;0;22134899
2618;05/08/2023;06;17;29;35;45;48;0;0;20582381
2617;02/08/2023;03;14;36;42;43;44;0;0;16335208
2616;29/07/2023;06;16;23;35;38;49;0;0;14013711
2615;27/07/2023;05;07;22;23;41;59;0;0;10619562
2614;25/07/2023;03;08;13;14;19;25;3;22746383.38;16215938
2613;22/07/2023;14;26;40;42;46;52;0;0;19522568
2612;19/07/2023;20;27;34;44;50;54;0;0;15734711
2611;15/07/2023;04;12;18;21;25;49;0;0;15704630
2610;12/07/2023;10;23;34;53;55;57;0;0;12841980
2609;08/07/2023;03;21;27;32;35;60;0;0;10624164
2608;05/07/2023;07;13;17;24;29;52;0;0;7226172
2607;01/07/2023;07;11;25;51;57;60;1;44355154.71;13711759
2606;29/06/2023;02;10;16;32;45;49;0;0;9777136
2605;27/06/2023;05;11;26;35;46;54;0;0;7392546
2604;24/06/2023;16;17;19;22;46;57;0;0;8750223
2603;21/06/2023;03;07;13;29;52;56;0;0;6710296
2602;17/06/2023;11;14;16;30;32;46;1;51774681.61;16963075
2601;14/06/2023;03;08;34;40;44;55;0;0;13919264
2600;10/06/2023;04;18;37;38;46;60;0;0;12812720
2599;07/06/2023;23;28;34;43;47;60;0;0;7541815
2598;03/06/2023;07;14;24;53;58;60;1;66093916.13;20446008
2597;31/05/2023;14;26;34;54;56;58;0;0;16681708
2596;27/05/2023;34;35;39;47;51;56;0;0;15872374
2595;24/05/2023;01;13;34;39;50;52;0;0;13054105
2594;20/05/2023;07;26;32;35;49;55;0;0;11291327
2593;17/05/2023;10;14;17;25;32;39;0;0;8599345
2592;13/05/2023;15;17;28;34;35;51;0;0;7233654
2591;11/05/2023;10;11;21;23;28;30;1;43295767.40;12586452
2590;09/05/2023;02;12;28;36;43;48;0;0;10058174
2589;06/05/2023;01;15;16;25;32;36;0;0;10114510
2588;03/05/2023;09;13;22;31;57;58;0;0;6188572
2587;29/04/2023;05;10;11;22;23;37;1;61056497.58;22405958
2586;26/04/2023;10;18;41;49;53;59;0;0;18976371
2585;22/04/2023;14;26;34;36;43;59;0;0;15775796
2584;19/04/2023;01;05;12;36;53;55;0;0;11728138
2583;15/04/2023;02;20;27;30;52;59;0;0;11404151
2582;12/04/2023;10;14;17;19;21;34;0;0;7998216
2581;08/04/2023;14;17;32;36;39;60;1;46558149.50;16638895
2580;05/04/2023;03;04;13;29;36;43;0;0;15011587
2579;01/04/2023;05;10;26;35;38;44;0;0;9024153
2578;29/03/2023;37;39;47;50;59;60;2;37457585.34;23458048
2577;25/03/2023;12;18;22;31;44;50;0;0;22247684
2576;22/03/2023;29;32;33;35;38;43;0;0;19073385
2575;18/03/2023;04;12;14;41;46;53;0;0;16466269
2574;16/03/2023;12;17;43;44;48;60;0;0;10943693
2573;14/03/2023;06;26;32;35;37;49;0;0;8331344
2572;11/03/2023;03;07;15;22;24;50;0;0;11824218
2571;08/03/2023;09;18;33;38;41;51;0;0;8389778
2570;04/03/2023;08;18;26;27;47;50;1;33139056.49;17805338
2569;01/03/2023;06;07;25;28;31;52;0;0;10722677
2568;25/02/2023;16;22;29;35;38;49;0;0;8072003
2567;23/02/2023;10;11;19;33;58;60;1;8548140.96;9482848
2566;18/02/2023;11;23;45;53;57;59;0;0;8402771
2565;16/02/2023;09;13;25;39;46;54;3;17626625.69;15403141
2564;14/02/2023;07;08;14;19;32;45;0;0;7442140
2563;11/02/2023;05;09;14;30;38;50;0;0;10312963
2562;08/02/2023;06;12;32;44;51;57;2;76403943.65;39287828
2561;04/02/2023;19;22;37;44;51;56;0;0;35889335
2560;01/02/2023;04;05;17;20;48;52;0;0;30338448
2559;28/01/2023;09;12;20;30;32;35;0;0;25447395
2558;25/01/2023;02;10;18;25;34;44;0;0;20149702
2557;21/01/2023;03;13;16;25;27;33;0;0;20296963
2556;18/01/2023;02;06;10;14;34;56;0;0;16667704
2555;14/01/2023;03;20;45;52;53;58;0;0;14626584
2554;12/01/2023;19;25;43;44;48;49;0;0;9843978
2553;10/01/2023;13;15;53;54;55;58;0;0;7348453
2552;07/01/2023;05;24;25;33;38;41;0;0;10370116
2551;04/01/2023;01;25;29;43;46;48;0;0;6781853
2550;31/12/2022;04;05;10;34;58;59;5;108393993.26;435210965
2549;17/12/2022;01;06;10;30;33;35;0;0;9430963
2548;14/12/2022;09;15;23;25;29;30;1;134811174.29;26199049
2547;10/12/2022;10;25;31;37;38;57;0;0;25349495
2546;07/12/2022;03;23;28;34;38;48;0;0;24344811
2545;03/12/2022;20;23;32;36;39;57;0;0;24262624
2544;30/11/2022;25;38;45;53;55;56;0;0;16936444
2543;26/11/2022;02;05;27;30;46;53;0;0;15786170
2542;24/11/2022;12;20;22;25;26;55;0;0;12114420
2541;22/11/2022;10;28;45;47;57;59;0;0;10914674
2540;19/11/2022;02;08;28;34;41;49;0;0;15935259
2539;16/11/2022;01;23;32;33;36;59;0;0;9334994
2538;12/11/2022;06;15;19;20;33;52;0;0;10120919
2537;09/11/2022;12;24;26;31;37;48;1;64250536.10;20244175
2536;05/11/2022;09;22;27;30;33;45;0;0;18076891
2535;03/11/2022;01;03;24;37;51;56;0;0;14946024
2534;29/10/2022;28;36;39;44;56;60;1;131566946.59;36511729
2533;26/10/2022;17;18;20;37;45;53;0;0;30800998
2532;22/10/2022;10;14;17;18;23;30;0;0;27120679
2531;20/10/2022;01;05;18;49;55;56;0;0;20130503
2530;18/10/2022;14;17;18;28;30;44;0;0;14565234
2529;15/10/2022;03;05;32;56;57;59;0;0;14217809
2528;13/10/2022;04;15;22;53;56;60;0;0;13031634
2527;08/10/2022;08;19;29;38;48;56;0;0;12571779
2526;05/10/2022;02;16;24;38;43;59;0;0;8859330
2525;01/10/2022;04;13;21;26;47;51;2;158926894.27;106390983
2524;28/09/2022;03;20;22;37;41;43;0;0;68381274
2523;24/09/2022;01;10;27;36;37;45;0;0;50836793
2522;21/09/2022;04;05;25;32;39;40;0;0;42378779
2521;17/09/2022;23;28;33;38;55;59;0;0;30657352
2520;15/09/2022;02;17;22;41;58;60;0;0;24464853
2519;13/09/2022;03;08;20;36;38;57;0;0;15929501
2518;10/09/2022;03;22;23;44;53;60;0;0;17089030
2517;08/09/2022;01;05;06;16;22;39;0;0;17395015
2516;03/09/2022;08;17;49;51;52;53;0;0;17771746
2515;31/08/2022;03;12;19;41;45;54;0;0;14514417
2514;27/08/2022;05;15;24;34;45;52;0;0;12005637
2513;24/08/2022;13;19;21;35;46;50;0;0;9917443
2512;20/08/2022;07;10;34;47;49;52;0;0;9687733
2511;17/08/2022;04;10;15;39;41;49;0;0;6677512
2510;13/08/2022;08;13;25;32;44;57;4;6670155.67;13821556
2509;10/08/2022;08;37;39;50;59;60;0;0;8873573
2508;06/08/2022;41;45;48;51;53;58;0;0;7188085
2507;04/08/2022;04;06;12;34;35;53;1;5543989.92;6913747
2506;02/08/2022;21;22;29;34;40;44;0;0;4686166
2505;30/07/2022;03;05;19;26;43;51;1;24271229.51;13609356
2504;27/07/2022;14;33;41;42;44;55;0;0;7045666
2503;23/07/2022;03;14;16;38;43;45;1;13748083.57;11507255
2502;20/07/2022;16;20;21;39;44;55;0;0;9099394
2501;16/07/2022;11;27;32;40;58;59;0;0;8159019
2500;13/07/2022;05;16;25;32;39;55;1;27485274.00;12120605
2499;09/07/2022;11;19;38;47;56;59;0;0;8576139
2498;06/07/2022;09;12;26;29;46;47;1;51830706.79;17344107
2497;02/07/2022;05;14;23;46;48;52;0;0;14372459
2496;30/06/2022;07;26;31;38;46;58;0;0;10478249
2495;28/06/2022;08;12;14;30;33;41;0;0;7793273
2494;25/06/2022;01;04;10;22;53;54;1;78763087.85;21736130
2493;22/06/2022;04;09;37;43;44;56;0;0;19768443
2492;18/06/2022;10;30;31;33;42;52;0;0;17946518
2491;15/06/2022;22;29;38;43;48;53;0;0;17147241
2490;11/06/2022;11;16;17;41;46;59;0;0;16405233
2489;08/06/2022;03;10;13;25;41;42;0;0;10311027
2488;04/06/2022;17;31;34;40;56;57;0;0;8247329
2487;02/06/2022;23;36;42;48;54;58;1;3681934.22;7703859
2486;31/05/2022;08;09;17;19;33;56;1;117557270.98;24819561
2485;28/05/2022;05;12;32;38;47;60;0;0;33613856
2484;25/05/2022;11;14;36;41;54;59;0;0;20995967
2483;21/05/2022;20;34;38;40;49;54;0;0;20682617
2482;18/05/2022;01;32;35;44;45;57;0;0;16543004
2481;14/05/2022;01;08;21;27;36;37;0;0;17228181
2480;11/05/2022;04;06;09;31;50;56;0;0;13221674
2479;07/05/2022;10;15;17;20;21;35;1;4456908.10;9325368
2478;04/05/2022;02;17;23;28;39;46;1;58922844.33;20463544
2477;30/04/2022;20;33;37;38;49;50;0;0;16500022
2476;28/04/2022;02;07;32;46;49;55;0;0;12096831
2475;26/04/2022;01;40;44;45;58;60;0;0;9561264
2474;23/04/2022;22;30;38;39;49;56;0;0;9648820
2473;20/04/2022;15;18;28;42;55;60;0;0;7795512
2472;16/04/2022;05;13;18;23;35;36;1;66733761.74;19410051
2471;13/04/2022;08;23;29;30;36;55;0;0;19351389
2470;09/04/2022;08;33;40;42;48;51;0;0;17857372
2469;06/04/2022;05;28;30;38;52;55;0;0;7978761
2468;02/04/2022;22;35;41;42;53;57;1;122627171.80;35152214
2467;30/03/2022;01;10;19;34;35;45;0;0;29453343
2466;26/03/2022;02;03;13;20;53;54;0;0;25495188
2465;23/03/2022;03;08;23;29;53;54;0;0;21289839
2464;19/03/2022;02;07;24;43;52;56;2;94690936.18;67779305
2463;16/03/2022;11;16;31;37;42;51;0;0;55470277
2462;12/03/2022;03;16;23;41;45;57;0;0;44358569
2461;09/03/2022;08;11;16;21;32;37;0;0;36761415
2460;05/03/2022;16;17;18;28;35;47;0;0;26610035
2459;03/03/2022;15;24;33;49;53;59;0;0;17756710
2458;26/02/2022;15;40;44;45;47;51;0;0;16151895
2457;24/02/2022;10;19;46;47;49;50;0;0;12370705
2456;22/02/2022;28;34;40;41;52;55;0;0;9708427
2455;19/02/2022;21;38;50;53;56;59;0;0;12987571
2454;16/02/2022;09;14;22;24;44;47;0;0;8749729
2453;12/02/2022;10;14;15;24;34;44;0;0;8630475
2452;09/02/2022;08;10;51;56;57;58;0;0;6424466
2451;05/02/2022;13;26;31;46;51;60;1;26422347.01;12832621
2450;02/02/2022;02;06;11;15;17;39;0;0;9715148
2449;29/01/2022;14;20;21;31;49;52;1;36777767.10;12694277
2448;27/01/2022;18;30;32;35;40;48;0;0;10497353
2447;25/01/2022;13;19;29;42;49;52;0;0;7797392
2446;22/01/2022;01;13;27;41;51;58;0;0;11781118
2445;19/01/2022;11;25;32;37;47;56;0;0;9311085
2444;15/01/2022;15;17;20;35;37;43;0;0;6776621
2443;12/01/2022;01;05;12;13;17;31;2;5259397.57;8521717
2442;08/01/2022;02;07;09;25;41;49;0;0;7682577
2441;05/01/2022;09;41;42;46;47;54;0;0;5804604
2440;31/12/2021;12;15;23;32;33;46;2;189062363.74;335612562
2439;18/12/2021;02;08;34;38;47;51;0;0;7106637
2438;15/12/2021;04;11;19;25;37;55;1;6549381.39;7472017
2437;11/12/2021;01;19;41;46;48;55;0;0;6231517
2436;09/12/2021;05;15;28;32;38;54;1;39405657.46;10388189
2435;07/12/2021;05;22;30;32;33;36;0;0;8317508
2434;04/12/2021;01;02;14;28;40;51;0;0;10797043
2433;01/12/2021;08;09;32;52;53;57;0;0;8558015
2432;27/11/2021;07;29;38;40;44;52;0;0;8163930
2431;24/11/2021;08;11;22;25;26;36;0;0;6311040
2430;20/11/2021;19;26;39;45;46;56;1;39690444.50;13760930
2429;17/11/2021;11;37;53;55;56;60;0;0;7579495
2428;13/11/2021;03;09;25;28;29;39;0;0;7662743
2427;10/11/2021;03;19;25;37;44;56;5;18181413.39;29927032
2426;06/11/2021;05;11;24;27;32;57;0;0;24120281
2425;03/11/2021;10;31;38;46;49;54;0;0;16687543
2424;30/10/2021;03;16;17;37;38;53;0;0;15988202
2423;27/10/2021;16;18;38;48;51;60;0;0;12760329
2422;23/10/2021;02;07;10;20;30;46;0;0;11160667
2421;21/10/2021;02;03;32;35;48;57;0;0;8923492
2420;19/10/2021;05;08;29;39;44;60;0;0;6030433
2419;16/10/2021;10;35;43;48;50;53;1;11509541.30;9960653
2418;13/10/2021;02;11;19;27;57;60;0;0;6513374
2417;09/10/2021;03;07;10;11;27;46;0;0;7607849
2416;06/10/2021;06;07;11;26;37;57;1;35714240.27;13224223
2415;02/10/2021;10;12;26;29;35;60;0;0;10620261
2414;30/09/2021;04;05;06;14;29;38;0;0;7113779
2413;28/09/2021;03;22;37;40;41;48;0;0;5315459
2412;25/09/2021;09;16;34;36;49;60;0;0;8419574
2411;22/09/2021;07;26;29;34;43;44;0;0;6091438
2410;18/09/2021;07;10;27;35;43;59;2;12503139.64;11148670
2409;15/09/2021;02;29;39;49;52;58;0;0;6023786
2408;11/09/2021;04;29;30;38;43;57;1;46317095.04;14862013
2407;08/09/2021;13;17;31;43;54;55;0;0;10909015
2406;04/09/2021;08;12;29;43;54;60;0;0;13384079
2405;01/09/2021;21;38;48;49;53;59;0;0;10740269
2404;28/08/2021;01;19;35;40;47;54;0;0;8265366
2403;25/08/2021;10;12;14;32;33;34;0;0;6171010
2402;21/08/2021;06;22;25;29;30;60;1;40953827.42;15109804
2401;18/08/2021;08;11;13;33;38;48;0;0;12362843
2400;14/08/2021;09;21;25;26;36;53;0;0;9921790
2399;12/08/2021;27;35;42;44;51;52;0;0;5968542
2398;10/08/2021;08;17;30;36;54;59;1;60902054.13;13155239
2397;07/08/2021;06;14;20;39;46;48;0;0;18531959
2396;04/08/2021;02;03;25;39;42;49;0;0;15423511
2395;31/07/2021;04;11;12;44;45;57;0;0;14258141
2394;28/07/2021;05;16;25;36;42;44;0;0;8977132
2393;24/07/2021;26;27;28;32;38;51;0;0;8662624
2392;21/07/2021;11;15;23;25;34;53;0;0;6319221
2391;17/07/2021;05;08;13;27;36;50;1;76237205.10;23894479
2390;14/07/2021;09;13;20;22;32;56;0;0;19123800
2389;10/07/2021;16;30;37;39;40;51;0;0;15221240
2388;07/07/2021;08;30;33;37;45;48;0;0;12875639
2387;03/07/2021;08;26;30;31;38;48;0;0;10308385
2386;01/07/2021;11;13;16;35;49;50;0;0;7697793
2385;29/06/2021;12;24;32;37;43;60;0;0;5434520
2384;26/06/2021;09;13;22;25;26;31;0;0;6298362
2383;23/06/2021;13;15;16;20;40;41;1;2783717.00;5824483
2382;19/06/2021;06;09;19;38;53;55;1;7098061.76;8380994
2381;16/06/2021;07;23;32;41;42;47;0;0;6470566
2380;12/06/2021;11;16;20;24;39;53;1;43258691.06;14810668
2379;09/06/2021;02;08;26;32;46;56;0;0;9751565
2378;05/06/2021;11;37;38;41;49;54;0;0;8532007
2377;02/06/2021;05;18;29;35;43;44;0;0;6909215
2376;29/05/2021;12;14;17;18;19;22;2;47341439.63;31579301
2375;26/05/2021;02;06;44;46;53;58;0;0;23582254
2374;22/05/2021;12;13;25;37;39;41;0;0;17028805
2373;19/05/2021;23;24;26;44;49;60;0;0;14253810
2372;15/05/2021;03;19;25;44;46;57;0;0;13919003
2371;12/05/2021;04;15;30;36;39;48;0;0;11587981
2370;08/05/2021;07;31;37;42;44;56;0;0;9760441
2369;06/05/2021;04;09;17;19;37;60;0;0;5609682
2368;04/05/2021;04;07;13;25;36;58;1;37429107.24;10397943
2367;30/04/2021;05;23;29;34;53;60;0;0;9766983
2366;28/04/2021;04;27;33;35;38;41;0;0;11039185
2365;24/04/2021;01;17;28;37;44;50;0;0;9252673
2364;22/04/2021;20;33;42;44;51;56;0;0;5874245
2363;17/04/2021;06;14;24;34;39;58;1;40076100.78;14815165
2362;14/04/2021;03;20;22;32;35;50;0;0;11986104
2361;10/04/2021;14;21;22;29;35;46;0;0;10094038
2360;08/04/2021;10;15;21;24;29;45;0;0;8113125
2359;06/04/2021;31;32;39;42;43;51;0;0;4718562
2358;03/04/2021;05;09;11;16;43;57;0;0;6028921
2357;31/03/2021;19;28;30;34;40;51;0;0;5679763
2356;27/03/2021;03;10;25;36;51;58;1;27070907.55;10470017
2355;24/03/2021;07;30;31;41;50;56;0;0;8766399
2354;20/03/2021;06;18;25;30;42;54;2;22779788.25;14323231
2353;17/03/2021;03;19;34;41;48;53;0;0;12578875
2352;13/03/2021;09;17;38;41;49;55;0;0;12308990
2351;10/03/2021;19;22;35;41;47;49;0;0;10422193
2350;06/03/2021;25;28;29;34;41;45;0;0;9874876
2349;03/03/2021;05;10;25;32;49;54;1;2780964.58;5818724
2348;27/02/2021;02;03;07;48;51;54;1;49341885.20;15940771
2347;24/02/2021;08;09;17;30;58;60;0;0;13362733
2346;20/02/2021;03;04;11;40;42;58;0;0;13169167
2345;17/02/2021;07;16;19;22;28;55;0;0;8691737
2344;13/02/2021;11;17;25;38;52;57;0;0;9731973
